age,weight,excercise1,excercise2,diet
21,41,chest-workout,shoulder-workout,salads
21,42,chest-workout,shoulder-workout,salads
21,43,chest-workout,shoulder-workout,salads
21,44,chest-workout,shoulder-workout,salads
21,45,chest-workout,shoulder-workout,salads
21,46,chest-workout,shoulder-workout,salads
21,47,chest-workout,shoulder-workout,salads
21,48,chest-workout,shoulder-workout,salads
21,49,chest-workout,shoulder-workout,salads
21,50,chest-workout,shoulder-workout,salads
21,51,dumb-bell,dead lift,brownrice
21,52,dumb-bell,dead lift,brownrice
21,53,dumb-bell,dead lift,brownrice
21,54,dumb-bell,dead lift,brownrice
21,55,dumb-bell,dead lift,brownrice
21,56,dumb-bell,dead lift,brownrice
21,57,dumb-bell,dead lift,brownrice
21,58,dumb-bell,dead lift,brownrice
21,59,dumb-bell,dead lift,brownrice
21,60,dumb-bell,dead lift,brownrice
21,61,dumb-bell,dead lift,brownrice
21,62,dumb-bell,dead lift,brownrice
21,63,dumb-bell,dead lift,brownrice
21,64,dumb-bell,dead lift,brownrice
21,65,dumb-bell,dead lift,brownrice
21,66,dumb-bell,dead lift,brownrice
21,67,dumb-bell,dead lift,brownrice
21,68,dumb-bell,dead lift,brownrice
21,69,dumb-bell,dead lift,brownrice
21,70,dumb-bell,dead lift,brownrice
21,71,jogging,legpress,vegetables
21,72,jogging,legpress,vegetables
21,73,jogging,legpress,vegetables
21,74,jogging,legpress,vegetables
21,75,jogging,legpress,vegetables
21,76,jogging,legpress,vegetables
21,77,jogging,legpress,vegetables
21,78,jogging,legpress,vegetables
21,79,jogging,legpress,vegetables
21,80,jogging,legpress,vegetables
21,81,jogging,legpress,vegetables
21,82,jogging,legpress,vegetables
21,83,jogging,legpress,vegetables
21,84,jogging,legpress,vegetables
21,85,jogging,legpress,vegetables
21,86,jogging,legpress,vegetables
21,87,jogging,legpress,vegetables
21,88,jogging,legpress,vegetables
21,89,jogging,legpress,vegetables
21,90,jogging,legpress,vegetables
21,91,jogging,legpress,vegetables
21,92,jogging,legpress,vegetables
21,93,jogging,legpress,vegetables
21,94,jogging,legpress,vegetables
21,95,jogging,legpress,vegetables
21,96,jogging,legpress,vegetables
21,97,jogging,legpress,vegetables
21,98,jogging,legpress,vegetables
21,99,jogging,legpress,vegetables
21,100,jogging,legpress,vegetables
21,101,tred-mill,walking,vegetables
21,102,tred-mill,walking,vegetables
21,103,tred-mill,walking,vegetables
21,104,tred-mill,walking,vegetables
21,105,tred-mill,walking,vegetables
21,106,tred-mill,walking,vegetables
21,107,tred-mill,walking,vegetables
21,108,tred-mill,walking,vegetables
21,109,tred-mill,walking,vegetables
21,110,tred-mill,walking,vegetables
21,111,tred-mill,walking,vegetables
21,112,tred-mill,walking,vegetables
21,113,tred-mill,walking,vegetables
21,114,tred-mill,walking,vegetables
21,115,tred-mill,walking,vegetables
21,116,tred-mill,walking,vegetables
21,117,tred-mill,walking,vegetables
21,118,tred-mill,walking,vegetables
21,119,tred-mill,walking,vegetables
21,120,tred-mill,walking,vegetables
21,121,tred-mill,walking,vegetables
21,122,tred-mill,walking,vegetables
21,123,tred-mill,walking,vegetables
21,124,tred-mill,walking,vegetables
21,125,tred-mill,walking,vegetables
21,126,tred-mill,walking,vegetables
21,127,tred-mill,walking,vegetables
21,128,tred-mill,walking,vegetables
21,129,tred-mill,walking,vegetables
21,130,tred-mill,walking,vegetables
21,131,tred-mill,walking,vegetables
21,132,tred-mill,walking,vegetables
21,133,tred-mill,walking,vegetables
21,134,tred-mill,walking,vegetables
21,135,tred-mill,walking,vegetables
21,136,tred-mill,walking,vegetables
21,137,tred-mill,walking,vegetables
21,138,tred-mill,walking,vegetables
21,139,tred-mill,walking,vegetables
21,140,tred-mill,walking,vegetables
21,141,tred-mill,walking,vegetables
21,142,tred-mill,walking,vegetables
21,143,tred-mill,walking,vegetables
21,144,tred-mill,walking,vegetables
21,145,tred-mill,walking,vegetables
21,146,tred-mill,walking,vegetables
21,147,tred-mill,walking,vegetables
21,148,tred-mill,walking,vegetables
21,149,tred-mill,walking,vegetables
21,150,tred-mill,walking,vegetables
22,41,chest-workout,shoulder-workout,salads
22,42,chest-workout,shoulder-workout,salads
22,43,chest-workout,shoulder-workout,salads
22,44,chest-workout,shoulder-workout,salads
22,45,chest-workout,shoulder-workout,salads
22,46,chest-workout,shoulder-workout,salads
22,47,chest-workout,shoulder-workout,salads
22,48,chest-workout,shoulder-workout,salads
22,49,chest-workout,shoulder-workout,salads
22,50,chest-workout,shoulder-workout,salads
22,51,dumb-bell,dead lift,brownrice
22,52,dumb-bell,dead lift,brownrice
22,53,dumb-bell,dead lift,brownrice
22,54,dumb-bell,dead lift,brownrice
22,55,dumb-bell,dead lift,brownrice
22,56,dumb-bell,dead lift,brownrice
22,57,dumb-bell,dead lift,brownrice
22,58,dumb-bell,dead lift,brownrice
22,59,dumb-bell,dead lift,brownrice
22,60,dumb-bell,dead lift,brownrice
22,61,dumb-bell,dead lift,brownrice
22,62,dumb-bell,dead lift,brownrice
22,63,dumb-bell,dead lift,brownrice
22,64,dumb-bell,dead lift,brownrice
22,65,dumb-bell,dead lift,brownrice
22,66,dumb-bell,dead lift,brownrice
22,67,dumb-bell,dead lift,brownrice
22,68,dumb-bell,dead lift,brownrice
22,69,dumb-bell,dead lift,brownrice
22,70,dumb-bell,dead lift,brownrice
22,71,jogging,legpress,vegetables
22,72,jogging,legpress,vegetables
22,73,jogging,legpress,vegetables
22,74,jogging,legpress,vegetables
22,75,jogging,legpress,vegetables
22,76,jogging,legpress,vegetables
22,77,jogging,legpress,vegetables
22,78,jogging,legpress,vegetables
22,79,jogging,legpress,vegetables
22,80,jogging,legpress,vegetables
22,81,jogging,legpress,vegetables
22,82,jogging,legpress,vegetables
22,83,jogging,legpress,vegetables
22,84,jogging,legpress,vegetables
22,85,jogging,legpress,vegetables
22,86,jogging,legpress,vegetables
22,87,jogging,legpress,vegetables
22,88,jogging,legpress,vegetables
22,89,jogging,legpress,vegetables
22,90,jogging,legpress,vegetables
22,91,jogging,legpress,vegetables
22,92,jogging,legpress,vegetables
22,93,jogging,legpress,vegetables
22,94,jogging,legpress,vegetables
22,95,jogging,legpress,vegetables
22,96,jogging,legpress,vegetables
22,97,jogging,legpress,vegetables
22,98,jogging,legpress,vegetables
22,99,jogging,legpress,vegetables
22,100,jogging,legpress,vegetables
22,101,tred-mill,walking,vegetables
22,102,tred-mill,walking,vegetables
22,103,tred-mill,walking,vegetables
22,104,tred-mill,walking,vegetables
22,105,tred-mill,walking,vegetables
22,106,tred-mill,walking,vegetables
22,107,tred-mill,walking,vegetables
22,108,tred-mill,walking,vegetables
22,109,tred-mill,walking,vegetables
22,110,tred-mill,walking,vegetables
22,111,tred-mill,walking,vegetables
22,112,tred-mill,walking,vegetables
22,113,tred-mill,walking,vegetables
22,114,tred-mill,walking,vegetables
22,115,tred-mill,walking,vegetables
22,116,tred-mill,walking,vegetables
22,117,tred-mill,walking,vegetables
22,118,tred-mill,walking,vegetables
22,119,tred-mill,walking,vegetables
22,120,tred-mill,walking,vegetables
22,121,tred-mill,walking,vegetables
22,122,tred-mill,walking,vegetables
22,123,tred-mill,walking,vegetables
22,124,tred-mill,walking,vegetables
22,125,tred-mill,walking,vegetables
22,126,tred-mill,walking,vegetables
22,127,tred-mill,walking,vegetables
22,128,tred-mill,walking,vegetables
22,129,tred-mill,walking,vegetables
22,130,tred-mill,walking,vegetables
22,131,tred-mill,walking,vegetables
22,132,tred-mill,walking,vegetables
22,133,tred-mill,walking,vegetables
22,134,tred-mill,walking,vegetables
22,135,tred-mill,walking,vegetables
22,136,tred-mill,walking,vegetables
22,137,tred-mill,walking,vegetables
22,138,tred-mill,walking,vegetables
22,139,tred-mill,walking,vegetables
22,140,tred-mill,walking,vegetables
22,141,tred-mill,walking,vegetables
22,142,tred-mill,walking,vegetables
22,143,tred-mill,walking,vegetables
22,144,tred-mill,walking,vegetables
22,145,tred-mill,walking,vegetables
22,146,tred-mill,walking,vegetables
22,147,tred-mill,walking,vegetables
22,148,tred-mill,walking,vegetables
22,149,tred-mill,walking,vegetables
22,150,tred-mill,walking,vegetables
23,41,chest-workout,shoulder-workout,salads
23,42,chest-workout,shoulder-workout,salads
23,43,chest-workout,shoulder-workout,salads
23,44,chest-workout,shoulder-workout,salads
23,45,chest-workout,shoulder-workout,salads
23,46,chest-workout,shoulder-workout,salads
23,47,chest-workout,shoulder-workout,salads
23,48,chest-workout,shoulder-workout,salads
23,49,chest-workout,shoulder-workout,salads
23,50,chest-workout,shoulder-workout,salads
23,51,dumb-bell,dead lift,brownrice
23,52,dumb-bell,dead lift,brownrice
23,53,dumb-bell,dead lift,brownrice
23,54,dumb-bell,dead lift,brownrice
23,55,dumb-bell,dead lift,brownrice
23,56,dumb-bell,dead lift,brownrice
23,57,dumb-bell,dead lift,brownrice
23,58,dumb-bell,dead lift,brownrice
23,59,dumb-bell,dead lift,brownrice
23,60,dumb-bell,dead lift,brownrice
23,61,dumb-bell,dead lift,brownrice
23,62,dumb-bell,dead lift,brownrice
23,63,dumb-bell,dead lift,brownrice
23,64,dumb-bell,dead lift,brownrice
23,65,dumb-bell,dead lift,brownrice
23,66,dumb-bell,dead lift,brownrice
23,67,dumb-bell,dead lift,brownrice
23,68,dumb-bell,dead lift,brownrice
23,69,dumb-bell,dead lift,brownrice
23,70,dumb-bell,dead lift,brownrice
23,71,jogging,legpress,vegetables
23,72,jogging,legpress,vegetables
23,73,jogging,legpress,vegetables
23,74,jogging,legpress,vegetables
23,75,jogging,legpress,vegetables
23,76,jogging,legpress,vegetables
23,77,jogging,legpress,vegetables
23,78,jogging,legpress,vegetables
23,79,jogging,legpress,vegetables
23,80,jogging,legpress,vegetables
23,81,jogging,legpress,vegetables
23,82,jogging,legpress,vegetables
23,83,jogging,legpress,vegetables
23,84,jogging,legpress,vegetables
23,85,jogging,legpress,vegetables
23,86,jogging,legpress,vegetables
23,87,jogging,legpress,vegetables
23,88,jogging,legpress,vegetables
23,89,jogging,legpress,vegetables
23,90,jogging,legpress,vegetables
23,91,jogging,legpress,vegetables
23,92,jogging,legpress,vegetables
23,93,jogging,legpress,vegetables
23,94,jogging,legpress,vegetables
23,95,jogging,legpress,vegetables
23,96,jogging,legpress,vegetables
23,97,jogging,legpress,vegetables
23,98,jogging,legpress,vegetables
23,99,jogging,legpress,vegetables
23,100,jogging,legpress,vegetables
23,101,tred-mill,walking,vegetables
23,102,tred-mill,walking,vegetables
23,103,tred-mill,walking,vegetables
23,104,tred-mill,walking,vegetables
23,105,tred-mill,walking,vegetables
23,106,tred-mill,walking,vegetables
23,107,tred-mill,walking,vegetables
23,108,tred-mill,walking,vegetables
23,109,tred-mill,walking,vegetables
23,110,tred-mill,walking,vegetables
23,111,tred-mill,walking,vegetables
